"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"New Miami Local SD, Butler","46136.0","7.0","88.76","621.31","639.45","0.0","0.0","0.0225","0.0012","0.0256","0.8946","0.056","1.0","0.0018","0.1657","45602.25","0.5","0.3281","0.1719","6.0","86213.0","96.5","73306.76","0.7586","0.1694","0.072","0.2414","73.31","1840.61","275.94","70099.78","39.0","26702.0","35080.0","27.02","25.18","23.99","5.27","917.72","1.614","2324.5","3361.48","7718.36","627.97","287.45","14319.87","10507.94","0.716","2367.88","0.1613","224.64","0.0153","1576.13","0.1074","14676.58","10410.27","7.287","0.4952","0.1743","0.3","0.0215","0.009"
"New Philadelphia City SD, Tuscarawas","44487.0","71.0","45.05","3198.35","3601.18","0.0071","0.0008","0.0142","0.0013","0.0941","0.852","0.0306","0.4328","0.0498","0.1431","55620.88","0.1961","0.1961","0.6078","21.2","72230.47","146.57","143949.97","0.7383","0.2179","0.0438","0.2617","143.95","5330.58","500.62","134624.54","301.0","31053.0","51326.0","55.6","35.46","38.63","4.0","0.0","1.1071","1299.57","1421.77","6174.78","515.66","153.35","9565.12","4680.65","0.415","4766.19","0.4226","1127.09","0.0999","704.92","0.0625","11278.85","3407.61","1.0416","0.5302","0.2286","0.1811","0.0409","0.0192"
"New Richmond Ex Vill SD, Clermont","45559.0","66.0","32.97","2175.75","2371.6","0.0038","0.0004","0.0088","0.0003","0.019","0.9436","0.0241","0.4312","0.0013","0.1663","61401.89","0.247","0.2229","0.5301","14.6","79771.99","142.33","226534.05","0.5668","0.1571","0.276","0.4332","226.53","6550.18","375.32","234283.95","560.0","38545.0","74532.0","37.85","25.19","26.65","3.5","0.0","0.6546","1280.38","2164.74","6699.84","358.02","214.4","10717.36","4859.31","0.3895","5139.97","0.412","1555.6","0.1247","919.85","0.0737","12474.73","2663.69","0.5268","0.5428","0.2026","0.1909","0.0455","0.0182"
"New Riegel Local SD, Seneca","49718.0","39.0","8.56","333.65","375.18","0.0","0.0027","0.0","0.0","0.024","0.96","0.0133","0.2335","0.0","0.1066","52148.07","0.25","0.0938","0.6563","3.2","83349.69","101.73","168034.89","0.9203","0.026","0.0537","0.0797","168.03","3828.73","432.34","120603.01","215.0","33843.0","51388.0","39.1","21.6","31.05","4.5","2028.91","1.8365","2448.1","2315.26","6235.82","461.77","559.45","12020.46","6781.12","0.4673","4827.47","0.3327","2358.03","0.1625","544.66","0.0375","14511.27","7916.36","2.8471","0.5217","0.1688","0.2454","0.0372","0.0269"
"Newark City SD, Licking","44453.0","24.0","288.32","6919.64","6253.22","0.0052","0.0005","0.0391","0.0013","0.0171","0.8489","0.088","0.655","0.004","0.2049","53547.42","0.3311","0.1982","0.4707","31.8","87505.89","214.3","111871.91","0.7042","0.2521","0.0437","0.2958","111.87","3438.21","493.55","106206.81","145.0","27400.0","42413.0","37.2","30.7","29.7","4.1","1267.1","1.6265","1096.2","2040.83","6274.79","703.44","534.9","10650.16","6730.03","0.5159","4730.32","0.3626","448.78","0.0344","1135.89","0.0871","13045.02","4301.9","1.8093","0.5251","0.2092","0.2201","0.033","0.0125"
"Newbury Local SD, Geauga","47217.0","29.0","16.21","470.03","386.92","0.0026","0.0026","0.0395","0.0026","0.0406","0.8851","0.0271","0.3723","0.0026","0.1973","52285.13","0.5833","0.0556","0.3611","5.7","67915.96","80.5","369061.63","0.8328","0.1255","0.0418","0.1672","369.06","17198.6","1736.24","352834.76","600.0","37888.0","68636.0","74.64","45.27","46.08","5.1","0.0","1.4613","3075.81","3944.81","8649.44","1250.71","175.62","17096.58","5718.82","0.2205","17882.13","0.6896","1414.35","0.0545","915.4","0.0353","25930.69","1570.32","0.1674","0.4547","0.1883","0.3246","0.0195","0.013"
"Newcomerstown Ex Vill SD, Tuscarawas","45542.0","79.0","12.83","1013.46","965.5","0.0062","0.001","0.0104","0.001","0.0187","0.9234","0.0392","0.7852","0.001","0.1574","43516.05","0.2593","0.2593","0.4815","8.9","75481.37","108.65","110587.81","0.7007","0.1755","0.1238","0.2993","110.59","3614.98","353.3","95363.69","106.0","26290.0","39509.0","51.6","28.46","36.25","4.7","0.0","1.2026","1793.3","3054.87","6714.93","617.91","218.35","12399.36","8500.1","0.5809","3156.03","0.2157","1325.81","0.0906","1650.0","0.1128","14631.95","7291.85","4.0822","0.5001","0.2439","0.2171","0.0283","0.0106"
"Newton Falls Ex Vill SD, Trumbull","45567.0","22.0","54.49","1198.83","1079.81","0.0009","0.0","0.0059","0.0028","0.0025","0.9543","0.0337","0.5412","0.0009","0.1435","48276.55","0.2358","0.2602","0.5041","9.2","67084.83","126.22","102995.08","0.8335","0.1416","0.0249","0.1665","103.0","3485.05","449.24","99300.15","123.0","30421.0","43942.0","43.35","33.4","34.72","5.1","0.0","0.9534","1549.27","2167.36","5773.26","326.83","133.05","9949.8","7443.16","0.5949","3181.07","0.2542","969.66","0.0775","918.32","0.0734","12512.21","5291.99","1.8908","0.4743","0.2143","0.2629","0.0352","0.0132"
"Newton Local SD, Miami","48637.0","40.0","13.05","522.09","549.6","0.0","0.0","0.0134","0.0","0.0164","0.9469","0.0234","0.2076","0.0","0.0878","52719.07","0.3158","0.1842","0.5","5.2","71716.88","95.17","151107.32","0.9589","0.0178","0.0233","0.0411","151.11","3434.22","548.3","127052.28","251.0","37708.0","57114.0","40.69","22.26","24.27","5.7","2735.75","1.5092","1917.07","2038.33","6935.26","391.11","350.27","11632.06","5989.0","0.443","5140.37","0.3802","1870.45","0.1384","518.85","0.0384","13518.66","6390.71","1.9123","0.5705","0.1985","0.1476","0.0479","0.0355"
"Niles City SD, Trumbull","44495.0","9.0","286.51","2578.61","2309.59","0.0035","0.0004","0.0451","0.0017","0.0214","0.8612","0.0666","0.6603","0.0022","0.1223","53115.55","0.2033","0.1813","0.6154","22.0","66365.95","114.73","83917.96","0.7601","0.2269","0.013","0.2399","83.92","3145.15","538.6","82696.48","75.0","26827.0","39396.0","50.55","36.8","39.01","5.7","0.0","0.9264","1644.56","2087.38","6448.75","479.44","259.03","10919.16","8065.19","0.6323","2778.6","0.2178","676.34","0.053","1235.5","0.0969","12755.63","5418.36","2.3546","0.487","0.2556","0.2343","0.0147","0.0083"
"Noble Local SD, Noble","48900.0","238.0","3.76","895.43","853.73","0.0024","0.0","0.0","0.0012","0.0082","0.9693","0.019","0.4534","0.0","0.1173","54701.01","0.2239","0.2239","0.5522","7.0","75508.14","121.36","490995.7","0.2784","0.2844","0.4373","0.7216","491.0","14113.08","329.65","224483.54","549.0","35024.0","64878.0","33.64","21.95","27.86","4.7","0.0","0.7106","2253.57","4242.01","7091.98","604.63","325.6","14517.87","6689.89","0.3062","12388.63","0.5669","1679.44","0.0769","1093.47","0.05","21851.44","5661.95","1.3662","0.4626","0.2796","0.1808","0.0369","0.0401"
"Nordonia Hills City SD, Summit","50047.0","28.0","131.14","3671.87","3527.9","0.0382","0.0","0.1176","0.0014","0.0176","0.7772","0.0479","0.1823","0.0172","0.1026","68032.24","0.1169","0.1775","0.7056","21.0","91478.24","172.52","263945.66","0.7677","0.1886","0.0437","0.2323","263.95","10057.28","1162.01","271221.89","585.0","45560.0","69481.0","67.3","36.44","38.11","4.97","0.0","0.7642","1343.48","2166.73","7004.0","958.54","267.04","11739.77","2956.18","0.2265","8906.18","0.6823","755.06","0.0578","435.22","0.0333","13052.64","1107.44","0.1413","0.5385","0.2027","0.1969","0.0426","0.0193"
"North Baltimore Local SD, Wood","50708.0","37.0","18.54","686.0","611.5","0.0032","0.0003","0.0047","0.0031","0.0903","0.8754","0.023","0.6007","0.0","0.1672","51536.16","0.1833","0.25","0.5667","5.6","76431.67","115.61","143104.88","0.6279","0.3072","0.0649","0.3721","143.1","4676.71","451.84","126147.85","244.0","31400.0","43746.0","48.2","28.77","37.39","4.4","266.63","1.1344","1873.1","2673.24","7882.23","845.63","419.27","13693.57","7588.31","0.4962","5216.9","0.3411","1538.11","0.1006","948.95","0.0621","15292.28","5327.98","2.2473","0.5321","0.199","0.1606","0.0384","0.0699"
"North Canton City SD, Stark","44503.0","15.0","292.04","4380.57","4331.77","0.0158","0.0002","0.0229","0.0005","0.0191","0.9062","0.0353","0.1904","0.0075","0.1235","56912.42","0.2549","0.1536","0.5915","22.9","93649.75","191.27","161316.9","0.7922","0.1904","0.0174","0.2078","161.32","6102.96","795.59","148877.8","372.0","39902.0","70542.0","73.8","35.73","43.31","5.3","0.0","0.7006","1269.59","1919.35","6153.93","605.86","373.24","10321.96","4178.36","0.3843","5473.22","0.5034","672.0","0.0618","548.96","0.0505","10872.54","3407.71","0.6022","0.6116","0.2531","0.0884","0.0196","0.0273"
"North Central Local SD, Williams","50641.0","77.0","8.28","637.91","572.11","0.0052","0.0","0.0018","0.0017","0.0849","0.8942","0.0121","0.4177","0.0298","0.1205","46024.44","0.76","0.1","0.14","9.1","50636.35","68.7","166769.34","0.8293","0.1511","0.0196","0.1707","166.77","5116.86","595.04","142495.67","341.0","33164.0","48642.0","59.1","28.7","37.88","0.0","0.0","1.2023","1681.92","2283.61","6788.15","595.53","399.37","11748.56","7746.07","0.5444","4603.31","0.3235","1391.67","0.0978","486.74","0.0342","14227.79","5002.37","1.8683","0.5405","0.2146","0.1937","0.0415","0.0096"
"North College Hill City SD, Hamilton","44511.0","2.0","937.3","1874.59","1581.62","0.0065","0.0011","0.7858","0.0019","0.0181","0.0931","0.0935","0.807","0.0095","0.2103","54043.13","0.5849","0.1132","0.3019","12.0","84120.67","148.17","63399.45","0.7263","0.2095","0.0643","0.2737","63.4","2345.14","303.02","66552.13","33.0","28644.0","37556.0","60.17","34.7","37.83","5.02","0.0","0.8626","1176.17","1541.53","5210.78","998.09","377.01","9303.56","7918.85","0.6381","2364.5","0.1905","407.49","0.0328","1720.0","0.1386","12410.84","5886.89","3.3592","0.533","0.1683","0.2693","0.02","0.0094"
"North Fork Local SD, Licking","48025.0","135.0","12.47","1682.85","1564.0","0.0006","0.0","0.0096","0.0013","0.0093","0.9702","0.0089","0.4149","0.0014","0.1627","50751.61","0.2177","0.2419","0.5403","13.5","65840.3","119.22","152162.94","0.8597","0.0499","0.0903","0.1403","152.16","3470.96","462.64","146504.92","361.0","33101.0","50794.0","30.7","22.03","22.04","4.5","1216.96","1.3529","1514.83","2172.1","6001.8","427.68","90.88","10207.26","5797.13","0.4728","4463.72","0.364","1229.3","0.1003","771.71","0.0629","12261.86","4113.07","1.4201","0.5287","0.1905","0.2227","0.0391","0.019"
"North Olmsted City SD, Cuyahoga","44529.0","12.0","321.89","3862.66","3726.39","0.0222","0.0009","0.0395","0.0035","0.071","0.8325","0.0304","0.3934","0.0658","0.14","77396.77","0.0886","0.1688","0.7426","24.8","108863.02","152.62","201311.61","0.6712","0.3073","0.0215","0.3288","201.31","11592.78","1259.18","208912.7","529.0","37127.0","54900.0","91.9","55.12","60.57","3.9","0.0","1.2966","2517.76","2050.22","9349.1","1048.89","232.84","15198.79","3707.5","0.2373","10498.43","0.6719","772.06","0.0494","646.87","0.0414","15624.86","1973.36","0.3938","0.6135","0.251","0.0991","0.0223","0.0141"
"North Ridgeville City SD, Lorain","44537.0","24.0","181.81","4363.52","4162.66","0.0137","0.0006","0.0235","0.0017","0.0461","0.9017","0.0128","0.2237","0.006","0.1279","52972.7","0.4107","0.1929","0.3964","18.3","84392.78","233.25","181107.73","0.8664","0.1133","0.0202","0.1336","181.11","6771.42","893.95","181586.35","475.0","44690.0","62029.0","48.99","37.31","35.92","6.1","0.0","0.8714","855.6","1985.15","5459.88","531.13","171.66","9003.42","3847.0","0.3633","5767.76","0.5446","566.96","0.0535","408.49","0.0386","10590.21","2290.33","0.4436","0.5875","0.1995","0.1652","0.0319","0.0159"
"North Royalton City SD, Cuyahoga","44545.0","25.0","169.24","4230.91","4123.07","0.0596","0.0006","0.0178","0.0005","0.0326","0.8551","0.0338","0.1458","0.032","0.1029","70700.78","0.2016","0.1411","0.6573","20.7","96684.45","201.52","252774.97","0.8424","0.1347","0.0229","0.1576","252.77","10467.85","1287.81","253155.82","576.0","42305.0","72930.0","64.9","40.84","41.02","5.0","0.0","0.9385","1425.98","1902.72","7113.47","762.11","424.88","11629.17","2791.06","0.2168","8931.01","0.6936","664.53","0.0516","490.07","0.0381","12876.68","1168.14","0.1403","0.5864","0.242","0.1297","0.0285","0.0135"
"North Union Local SD, Union","50336.0","160.0","8.98","1437.32","1531.19","0.004","0.0","0.0023","0.0007","0.0129","0.9634","0.0167","0.3888","0.0","0.1623","56231.69","0.3398","0.2136","0.4466","21.6","75561.57","65.66","162272.77","0.9211","0.0272","0.0517","0.0789","162.27","4332.16","556.53","139993.29","325.0","36656.0","54448.0","33.54","26.28","27.94","4.15","1328.84","1.5709","1175.51","2412.87","6416.15","864.24","364.52","11233.26","5682.92","0.4662","4512.23","0.3702","1415.73","0.1161","578.48","0.0475","12189.36","5726.36","2.1087","0.5354","0.2151","0.189","0.0485","0.012"
"Northeastern Local SD, Clark","46250.0","118.0","28.66","3381.53","3281.68","0.0088","0.0012","0.0213","0.0012","0.0215","0.9038","0.0422","0.2923","0.0029","0.1014","54658.1","0.3899","0.1972","0.4128","16.7","88922.93","197.41","147352.31","0.8737","0.0992","0.0271","0.1263","147.35","4247.47","562.95","145203.09","355.0","37756.0","56458.0","49.13","27.32","36.57","6.3","820.93","0.9718","1005.16","1706.39","5468.67","592.11","364.53","9136.85","4661.66","0.4454","4316.96","0.4124","1028.08","0.0982","460.3","0.044","10467.01","3752.49","0.9943","0.5606","0.1981","0.1893","0.041","0.011"
"Northeastern Local SD, Defiance","46722.0","114.0","9.35","1065.6","1088.04","0.0073","0.0009","0.0136","0.0009","0.079","0.8804","0.0178","0.2379","0.0","0.1125","53748.32","0.2469","0.1852","0.5679","7.1","73044.9","144.91","251885.33","0.6181","0.1785","0.2034","0.3819","251.89","8068.42","485.2","234402.34","561.0","37992.0","62963.0","48.15","26.06","34.33","5.0","0.0","0.8634","1314.19","1993.42","5812.86","673.44","378.53","10172.45","3298.04","0.2607","6874.39","0.5434","1874.58","0.1482","604.36","0.0478","12651.37","2754.05","0.6998","0.5186","0.1881","0.2323","0.0388","0.0222"
"Northern Local SD, Perry","49056.0","172.0","13.07","2248.4","2209.58","0.0009","0.0","0.0026","0.0005","0.005","0.9744","0.0167","0.3766","0.0","0.1118","57044.35","0.1769","0.1429","0.6803","18.8","75606.9","117.8","172242.52","0.7549","0.0437","0.2014","0.2451","172.24","4163.19","425.4","162563.02","421.0","36984.0","56546.0","31.8","22.25","22.2","3.7","0.0","0.7997","1356.68","2465.03","5777.39","319.97","390.09","10309.15","5769.3","0.5093","3555.38","0.3139","1109.39","0.0979","894.13","0.0789","11328.2","4777.75","1.503","0.5304","0.2411","0.1836","0.0287","0.0162"
"Northmont City SD, Montgomery","48728.0","45.0","117.4","5283.18","4984.5","0.0202","0.002","0.2183","0.0008","0.0199","0.6768","0.062","0.3527","0.0188","0.1429","58276.42","0.4646","0.3415","0.1938","28.6","101408.46","179.51","118941.67","0.8411","0.1355","0.0234","0.1589","118.94","6403.42","866.25","125058.2","236.0","37627.0","57599.0","78.53","52.88","55.51","6.1","0.0","1.0359","1258.6","1931.46","7180.32","833.91","84.99","11289.27","5829.36","0.4636","5352.45","0.4257","746.01","0.0593","645.74","0.0514","12573.55","3976.23","1.0659","0.5778","0.249","0.1057","0.0249","0.0426"
"Northmor Local SD, Morrow","48819.0","101.0","11.25","1136.41","1025.13","0.002","0.001","0.0044","0.001","0.0254","0.9504","0.0159","0.3958","0.0","0.1185","49161.37","0.2222","0.1528","0.625","7.9","65466.84","137.27","172911.19","0.8938","0.0269","0.0793","0.1062","172.91","4055.81","585.27","156862.36","406.0","33148.0","54223.0","31.1","22.71","25.71","5.1","1383.44","1.54","1421.67","2295.39","5863.59","359.07","443.62","10383.35","5809.79","0.4405","5135.32","0.3894","1146.99","0.087","1095.61","0.0831","13187.71","4222.21","1.3387","0.486","0.2133","0.23","0.0349","0.0358"
"Northridge Local SD, Licking","48033.0","137.0","9.1","1247.18","1157.77","0.0017","0.0","0.0009","0.0008","0.0182","0.9571","0.0213","0.2698","0.0122","0.0974","46060.19","0.4255","0.1596","0.4149","9.1","81716.92","131.46","225052.93","0.908","0.0219","0.0701","0.092","225.05","6860.95","826.61","209111.44","530.0","41338.0","62856.0","42.2","29.6","29.71","4.1","27.88","1.0983","2044.56","2725.5","5114.34","433.0","753.25","11070.65","4947.91","0.38","6262.97","0.4811","1270.98","0.0976","537.28","0.0413","13019.15","3537.07","0.7568","0.4352","0.1465","0.3548","0.0471","0.0164"
"Northridge Local SD, Montgomery","48736.0","6.0","261.88","1571.29","1594.17","0.0032","0.0025","0.2245","0.0024","0.0266","0.6706","0.0701","1.0","0.0107","0.1314","64002.87","0.225","0.2625","0.5125","16.0","93600.94","95.67","89062.2","0.4158","0.5469","0.0374","0.5842","89.06","5011.65","476.75","79802.46","64.0","23339.0","33409.0","70.38","52.39","58.26","6.7","0.0","1.3487","2098.07","2623.94","6990.94","980.48","555.96","13249.36","9140.78","0.5456","4422.24","0.264","1312.03","0.0783","1878.06","0.1121","16753.12","6557.06","4.9671","0.5252","0.2068","0.2301","0.0274","0.0106"
"Northwest Local SD, Hamilton","47365.0","52.0","177.01","9204.58","8120.18","0.0352","0.0015","0.2808","0.0002","0.0435","0.5332","0.1056","0.5454","0.0419","0.1588","56083.15","0.1758","0.1816","0.6426","51.3","89309.97","169.87","158372.29","0.7748","0.1906","0.0347","0.2252","158.37","5445.66","656.18","168401.71","444.0","36705.0","58859.0","54.73","32.74","37.39","4.33","0.0","0.698","1367.93","1937.87","6274.26","428.89","333.9","10342.86","4460.33","0.3787","5125.42","0.4352","1150.89","0.0977","1040.8","0.0884","11777.43","2706.78","0.5002","0.5833","0.1817","0.1918","0.0322","0.011"
"Northwest Local SD, Scioto","49635.0","184.0","8.86","1630.48","1359.92","0.0021","0.0","0.0008","0.0009","0.0105","0.977","0.0087","0.7796","0.0007","0.1867","58129.72","0.1727","0.1818","0.6455","11.2","75262.06","135.45","71893.99","0.8759","0.0514","0.0727","0.1241","71.89","1573.8","217.26","63917.9","29.0","29419.0","45181.0","24.08","21.71","21.87","4.71","0.0","0.7276","1316.85","2961.29","7260.36","583.06","409.31","12530.87","12243.17","0.7641","1424.99","0.0889","1058.79","0.0661","1296.18","0.0809","16023.13","9211.79","4.9367","0.5051","0.2018","0.251","0.0338","0.0083"
"Northwest Local SD, Stark","49908.0","32.0","60.27","1928.64","1861.72","0.007","0.0","0.0109","0.0","0.0076","0.9644","0.0101","0.2871","0.0016","0.1296","56296.3","0.1626","0.1463","0.6911","13.7","81491.97","137.84","139405.01","0.8333","0.1032","0.0636","0.1667","139.41","4194.03","608.67","131707.86","281.0","37990.0","56504.0","50.4","28.5","30.37","4.7","1552.3","1.0905","1315.12","2547.85","5597.61","391.52","125.79","9977.91","5042.61","0.4366","5279.89","0.4571","616.39","0.0534","611.53","0.0529","11550.43","4327.15","1.0994","0.5567","0.2522","0.13","0.0393","0.0218"
"Northwestern Local SD, Clark","46268.0","68.0","24.5","1666.3","1639.36","0.0031","0.0009","0.0095","0.0006","0.0276","0.9199","0.0384","0.3081","0.0","0.1464","51266.41","0.3613","0.1429","0.4958","22.2","74969.37","69.71","138046.42","0.854","0.1084","0.0375","0.146","138.05","4187.91","616.84","142898.86","343.0","34944.0","58520.0","33.89","29.76","33.65","5.6","1253.97","1.2333","1077.86","1800.25","6036.74","578.5","493.93","9987.3","4907.89","0.4189","4735.74","0.4042","1293.98","0.1104","778.26","0.0664","11715.88","4665.9","1.286","0.5627","0.1994","0.1886","0.0361","0.0131"
"Northwestern Local SD, Wayne","50575.0","92.0","13.29","1222.51","1333.31","0.0008","0.0","0.0008","0.0","0.0284","0.9506","0.0195","0.3877","0.0032","0.1147","55160.51","0.2407","0.1944","0.5648","15.0","70063.53","78.66","134970.76","0.9035","0.065","0.0315","0.0965","134.97","3402.92","417.31","108307.03","154.0","33178.0","49351.0","30.6","24.9","26.9","4.7","1675.03","1.5882","1095.04","2404.78","7525.4","592.74","568.16","12186.07","5998.15","0.4744","3961.0","0.3133","1792.59","0.1418","892.96","0.0706","12644.7","6788.07","2.6103","0.5243","0.2713","0.1504","0.0479","0.0061"
"Northwood Local SD, Wood","50716.0","8.0","102.06","816.51","855.78","0.0148","0.0012","0.0145","0.0008","0.1242","0.8055","0.039","0.4965","0.0012","0.1461","60639.21","0.3143","0.1571","0.5286","10.0","58393.5","72.98","140844.97","0.61","0.3639","0.0261","0.39","140.84","7514.95","689.91","129393.25","266.0","37303.0","53924.0","77.6","46.78","62.64","6.0","287.55","1.0822","2014.45","2202.28","7247.53","532.25","792.46","12788.97","5164.31","0.3583","6525.29","0.4527","1958.56","0.1359","764.72","0.0531","14412.87","4804.49","1.264","0.5301","0.2186","0.1975","0.0404","0.0135"
"Norton City SD, Summit","44552.0","25.0","78.77","1969.37","2432.03","0.0114","0.0004","0.02","0.0004","0.0085","0.932","0.0274","0.3693","0.0074","0.1702","54892.15","0.2588","0.2353","0.5059","22.1","68975.16","89.06","143329.45","0.8204","0.1354","0.0441","0.1796","143.33","4832.04","669.73","116158.74","193.0","37685.0","56007.0","58.6","31.46","39.27","5.9","0.0","0.7536","1190.34","1883.06","5589.54","815.96","232.37","9711.25","3857.17","0.377","3415.53","0.3339","2422.02","0.2367","535.77","0.0524","10230.49","5394.97","1.3201","0.5874","0.2279","0.1421","0.0323","0.0104"
"Norwalk City SD, Huron","44560.0","32.0","89.33","2858.5","2723.03","0.0033","0.0004","0.0116","0.0007","0.1347","0.8096","0.0397","0.5038","0.0455","0.1345","59045.12","0.1371","0.2","0.6629","19.0","76565.63","145.58","111274.95","0.7862","0.1754","0.0384","0.2138","111.27","3325.05","382.48","106450.33","146.0","29289.0","49259.0","46.5","29.07","29.88","4.9","722.99","1.1539","1262.44","1709.99","5970.85","432.51","101.31","9477.11","6070.61","0.5279","3566.47","0.3101","875.91","0.0762","987.28","0.0858","11500.28","4952.23","1.5715","0.4969","0.2166","0.2207","0.0545","0.0113"
"Norwayne Local SD, Wayne","50567.0","73.0","18.54","1353.69","1385.53","0.0054","0.0","0.002","0.0007","0.0119","0.9551","0.0249","0.2712","0.0","0.11","52791.55","0.1928","0.1928","0.6145","12.3","53168.46","105.28","134492.23","0.8665","0.1061","0.0274","0.1335","134.49","3246.52","444.24","128240.0","258.0","33901.0","50940.0","32.15","23.65","26.06","4.3","932.2","1.2121","939.59","1704.59","5221.09","325.71","249.97","8440.94","5355.89","0.5133","3504.49","0.3359","1024.35","0.0982","549.49","0.0527","10434.22","5116.9","1.8378","0.5458","0.2428","0.1721","0.0278","0.0115"
"Norwood City SD, Hamilton","44578.0","3.0","719.22","2157.67","2062.06","0.0019","0.0008","0.1269","0.0006","0.1121","0.7042","0.0535","0.6934","0.0519","0.1637","59315.79","0.2994","0.1911","0.5096","19.2","82663.78","110.57","168210.19","0.5674","0.3797","0.053","0.4326","168.21","8049.07","608.56","174384.37","457.0","30688.0","43610.0","62.8","44.85","50.26","4.31","0.0","1.2585","1308.99","2018.18","8267.12","972.86","274.75","12841.88","4873.28","0.3076","7484.44","0.4724","1626.97","0.1027","1857.34","0.1172","15842.02","2866.56","0.838","0.5476","0.1676","0.2455","0.0276","0.0116"
"Oak Hill Union Local SD, Jackson","47761.0","161.0","7.84","1262.11","1185.33","0.0008","0.0","0.0","0.0008","0.0042","0.9838","0.0103","0.6132","0.0","0.1439","52193.78","0.2073","0.1585","0.6341","6.3","83184.44","189.22","110872.17","0.6","0.0551","0.3449","0.4","110.87","2394.84","233.9","89046.5","88.0","29056.0","43871.0","21.6","21.6","21.6","4.0","0.0","0.822","1248.79","2382.72","5858.17","501.02","391.54","10382.25","9099.22","0.6735","2068.02","0.1531","1092.82","0.0809","1249.98","0.0925","13510.04","8115.27","4.4067","0.4947","0.2091","0.2356","0.0436","0.0169"
"Oak Hills Local SD, Hamilton","47373.0","28.0","278.41","7795.55","7407.61","0.0112","0.0","0.0354","0.0005","0.0212","0.8883","0.0434","0.1933","0.0064","0.1533","65756.34","0.34","0.1391","0.521","41.0","99978.19","185.69","136252.0","0.8705","0.0869","0.0427","0.1295","136.25","4258.49","612.74","148226.92","369.0","40962.0","68777.0","46.34","30.54","30.98","2.0","0.0","0.4658","1297.05","1575.81","6256.74","638.92","232.74","10001.26","4260.87","0.3972","3695.27","0.3445","2294.5","0.2139","475.59","0.0443","10726.23","3219.73","0.4803","0.6328","0.2293","0.1047","0.0225","0.0107"
"Oakwood City SD, Montgomery","44586.0","2.0","1026.44","2052.87","2039.73","0.0492","0.0","0.0079","0.001","0.044","0.8601","0.0377","0.0384","0.0023","0.1059","71883.7","0.2484","0.1765","0.5752","15.0","97058.67","136.68","144411.24","0.9495","0.0427","0.0078","0.0505","144.41","10215.89","1215.92","172387.63","450.0","65421.0","139588.0","129.02","68.63","106.97","4.72","0.0","0.7067","1962.82","1526.51","8197.15","956.05","211.96","12854.48","4431.99","0.3187","8672.37","0.6236","577.06","0.0415","225.35","0.0162","13906.77","2790.94","0.3514","0.6128","0.2349","0.0954","0.0312","0.0257"
