"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Mapleton Local SD, Ashland","45831.0","101.0","9.38","947.3","889.77","0.0022","0.0033","0.0011","0.0078","0.9805","0.0051","0.406","0.0","0.1175","42604.73","0.3368","0.2737","0.3895","18.09","7.1","55577.1","128.64","132706.08","0.9011","0.0374","0.0616","0.0989","132.71","3170.12","471.13","133531.82","348.0","33572.0","45318.0","44.7","22.48","23.48","4.0","0.0","0.7781","1437.74","2118.0","4963.58","298.48","206.25","9024.0","5229.49","0.5317","2840.11","0.2888","1090.74","0.1109","674.78","0.0686","9835.12","4249.44","1.192","0.5283","0.1666","0.231","0.0364","0.0377"
"Maplewood Local SD, Trumbull","50211.0","78.0","11.16","870.5","842.46","0.0035","0.0","0.0046","0.0047","0.9713","0.0159","0.4158","0.0012","0.1347","55846.67","0.2222","0.1111","0.6667","19.04","5.13","81890.51","162.2","108646.7","0.9371","0.0338","0.0291","0.0629","108.65","3360.55","539.92","107245.12","207.0","31715.0","43660.0","42.8","30.58","30.47","5.2","0.0","1.0839","1457.86","2451.34","5763.02","264.4","149.44","10086.0","6638.35","0.5825","2874.95","0.2523","889.55","0.0781","993.61","0.0872","11396.46","5345.59","1.7746","0.5567","0.2004","0.1928","0.0388","0.0112"
"Margaretta Local SD, Erie","46805.0","75.0","15.84","1188.12","1181.5","0.0008","0.0013","0.0025","0.0328","0.9364","0.026","0.3743","0.0","0.1181","53523.36","0.1512","0.2558","0.593","18.46","13.1","69971.4","87.26","144272.03","0.8629","0.0898","0.0473","0.1371","144.27","5569.62","658.31","148340.07","414.0","32236.0","44159.0","66.3","35.21","56.59","5.7","0.0","1.3043","1349.93","2306.9","5512.42","596.2","486.57","10252.0","5272.58","0.426","4579.57","0.37","1841.21","0.1488","682.19","0.0551","12375.55","3073.28","0.8345","0.525","0.2077","0.2036","0.0481","0.0156"
"Mariemont City SD, Hamilton","44313.0","4.0","426.36","1705.44","1678.69","0.0142","0.0174","0.0012","0.0202","0.9221","0.0249","0.0832","0.003","0.1024","70538.6","0.093","0.1628","0.7442","16.32","9.87","82634.75","168.82","195683.53","0.8497","0.1228","0.0275","0.1503","195.68","10376.21","1164.68","232889.07","568.0","49664.0","111470.0","103.77","49.15","68.48","5.85","0.0","0.8797","1662.24","2028.62","6979.83","571.28","626.01","11868.0","3321.37","0.2555","8918.04","0.686","472.51","0.0363","288.71","0.0222","13000.63","1616.03","0.1573","0.5658","0.1837","0.1823","0.0349","0.0334"
"Marietta City SD, Washington","44321.0","71.0","41.24","2928.23","2699.87","0.0065","0.0081","0.0017","0.0096","0.9474","0.0267","0.5248","0.0015","0.1429","46155.28","0.1707","0.122","0.7073","19.23","19.0","58653.84","149.01","152132.82","0.672","0.2876","0.0404","0.328","152.13","4839.81","530.21","148266.61","413.0","28011.0","46965.0","49.18","29.85","33.95","5.0","0.0","0.8921","1184.14","2100.64","5480.24","417.12","279.88","9462.0","3799.77","0.3834","4326.97","0.4366","676.53","0.0683","1107.68","0.1118","9910.94","2345.64","0.5275","0.544","0.2676","0.1372","0.0323","0.0189"
"Marion City SD, Marion","44339.0","9.0","566.83","5101.45","4168.29","0.0019","0.065","0.0009","0.0508","0.8118","0.0696","0.9928","0.0096","0.1886","49035.76","0.1873","0.2507","0.562","15.49","32.0","73554.09","154.26","66071.96","0.7174","0.2052","0.0774","0.2826","66.07","2012.23","278.5","64872.23","28.0","24147.0","32884.0","41.37","29.38","30.09","3.3","0.0","1.0034","1332.58","1834.47","6414.61","752.3","406.04","10740.0","8058.81","0.6351","2007.72","0.1582","927.02","0.0731","1694.52","0.1336","12688.07","5169.36","3.2609","0.5101","0.2071","0.2393","0.0228","0.0207"
"Marion Local SD, Mercer","48553.0","53.0","15.7","832.24","823.94","0.0006","0.003","0.0012","0.0","0.9952","0.0","0.0561","0.0","0.1016","53447.67","0.15","0.2","0.65","17.76","7.0","51388.57","118.89","104618.44","0.9278","0.047","0.0252","0.0722","104.62","3253.63","484.01","96941.09","148.0","38989.0","50308.0","31.1","31.1","31.1","4.5","0.0","0.9952","1062.83","1455.57","6496.02","239.44","269.18","9523.0","5502.8","0.5583","2949.08","0.2992","1010.94","0.1026","393.17","0.0399","9855.99","4657.91","1.4785","0.5886","0.2523","0.1093","0.0378","0.0119"
"Marlington Local SD, Stark","49882.0","91.0","25.88","2355.48","2320.7","0.0039","0.0205","0.0","0.0192","0.9331","0.0233","0.3887","0.0112","0.1429","49283.56","0.1745","0.1678","0.6577","19.78","14.61","81288.51","161.22","123931.85","0.7757","0.1951","0.0292","0.2243","123.93","3702.75","458.34","133397.64","346.0","31748.0","49390.0","54.9","27.73","34.66","5.8","0.0","0.7897","1201.48","1889.38","5498.29","371.31","282.56","9243.0","4739.63","0.4633","3461.13","0.3384","1152.23","0.1126","876.07","0.0856","10229.06","3825.29","0.9395","0.5432","0.2321","0.1707","0.0411","0.0129"
"Martins Ferry City SD, Belmont","44347.0","26.0","56.18","1460.65","1461.88","0.0007","0.0555","0.0027","0.01","0.8655","0.0656","0.5032","0.0","0.219","44583.83","0.2632","0.1158","0.6211","17.92","13.35","58635.34","106.83","82529.11","0.7825","0.1606","0.0569","0.2175","82.53","1917.45","330.14","73481.94","50.0","25536.0","40969.0","36.95","21.45","27.06","4.5","0.0","0.4955","1066.53","1654.66","5389.03","403.77","204.04","8718.0","6413.33","0.6187","1552.64","0.1498","1153.93","0.1113","1245.42","0.1202","10365.32","6096.65","2.0181","0.5146","0.2727","0.1555","0.0446","0.0126"
"Marysville Ex Vill SD, Union","45476.0","140.0","39.42","5519.08","5082.09","0.0213","0.0121","0.0015","0.0059","0.9329","0.0262","0.1573","0.0059","0.1785","55477.23","0.1909","0.2667","0.5424","17.68","25.7","80271.24","212.12","125635.58","0.6743","0.2695","0.0562","0.3257","125.64","4396.98","463.99","140267.92","386.0","41475.0","55143.0","49.86","31.55","40.53","4.7","0.0","0.6679","1176.96","1631.3","5543.61","673.26","604.87","9630.0","4572.48","0.46","4113.62","0.4139","712.34","0.0717","541.3","0.0545","9939.73","2501.3","0.6963","0.5993","0.2492","0.1039","0.0317","0.0159"
"Mason City SD, Warren","50450.0","25.0","425.38","10634.39","10428.29","0.1596","0.0387","0.0014","0.0367","0.7239","0.0396","0.0742","0.0354","0.0857","65610.54","0.1113","0.3505","0.5382","19.73","47.9","97247.42","220.89","138313.53","0.8121","0.1694","0.0185","0.1879","138.31","5625.4","715.08","171993.56","469.0","58747.0","95586.0","77.16","39.86","40.57","4.68","0.0","0.5234","1081.42","1978.64","6309.82","596.87","218.25","10185.0","3901.21","0.3991","4717.23","0.4826","894.82","0.0915","261.83","0.0268","9775.08","2553.66","0.3552","0.6123","0.2753","0.0718","0.03","0.0106"
"Massillon City SD, Stark","44354.0","13.0","321.97","4185.58","3857.25","0.0023","0.1151","0.001","0.0242","0.767","0.0903","0.6634","0.0057","0.1805","53392.7","0.0939","0.1697","0.7365","16.02","25.0","79892.76","167.42","88429.41","0.7014","0.2379","0.0606","0.2986","88.43","4026.22","547.67","97105.81","150.0","25669.0","36321.0","50.2","45.03","45.83","4.1","8.54","0.9553","1250.42","2063.47","5979.59","595.01","232.53","10121.0","6123.02","0.5286","3525.86","0.3044","799.56","0.069","1134.95","0.098","11583.4","4388.88","1.7121","0.5905","0.2102","0.1587","0.0228","0.0177"
"Mathews Local SD, Trumbull","50153.0","49.0","17.58","861.48","804.3","0.0003","0.0121","0.0037","0.0","0.9791","0.0049","0.341","0.0","0.1631","51670.56","0.2381","0.2381","0.5238","16.35","8.7","69587.59","95.71","171280.94","0.8195","0.1418","0.0387","0.1805","171.28","6729.38","812.76","181257.49","494.0","33377.0","60360.0","56.5","38.17","41.05","5.9","0.0","0.8174","1603.56","2296.46","5723.73","581.72","318.54","10524.0","4113.33","0.359","5447.31","0.4754","1346.09","0.1175","552.37","0.0482","11459.12","2155.04","0.2979","0.5149","0.2385","0.1938","0.0323","0.0205"
"Maumee City SD, Lucas","44362.0","9.0","302.14","2719.23","2597.75","0.0194","0.0845","0.0","0.0407","0.811","0.0444","0.3342","0.0123","0.1555","69007.65","0.1735","0.1429","0.6837","17.14","18.14","88134.23","144.07","150208.77","0.5891","0.3898","0.0211","0.4109","150.21","7843.27","768.98","183861.88","499.0","33078.0","49517.0","80.8","47.62","57.61","5.5","0.0","1.1141","1633.72","1902.31","6888.53","524.35","154.1","11103.0","3560.39","0.2944","7336.62","0.6066","620.79","0.0513","577.18","0.0477","12094.98","1037.81","0.2263","0.6083","0.2301","0.1129","0.0343","0.0144"
"Mayfield City SD, Cuyahoga","44370.0","22.0","176.71","3887.59","4110.69","0.062","0.1573","0.0","0.0153","0.72","0.0454","0.2118","0.0382","0.1893","76207.17","0.1287","0.1667","0.7047","16.17","26.58","101446.2","146.26","335548.16","0.6693","0.3176","0.0131","0.3307","335.55","15060.07","1499.08","353816.92","602.0","38508.0","85550.0","80.47","43.77","45.75","5.02","0.0","0.8198","1843.77","2748.29","7999.22","1014.46","486.25","14092.0","2691.19","0.1649","11845.08","0.7257","1134.31","0.0695","652.26","0.04","16322.84","1170.03","0.0836","0.5711","0.2099","0.1557","0.041","0.0223"
"Maysville Local SD, Muskingum","48850.0","54.0","34.85","1881.92","2351.92","0.0021","0.0171","0.0001","0.0061","0.9382","0.0364","0.6014","0.0","0.1994","49685.55","0.3563","0.1494","0.4943","19.44","20.1","69302.62","91.25","88618.75","0.7427","0.2108","0.0466","0.2573","88.62","2083.14","268.39","69542.91","41.0","26246.0","38147.0","40.65","22.86","21.99","4.45","0.0","0.8316","987.64","1784.8","5836.36","319.93","378.27","9307.0","5161.59","0.5429","1452.57","0.1528","1781.72","0.1874","1111.41","0.1169","9507.29","6944.25","2.9876","0.5774","0.2251","0.1575","0.0274","0.0125"
"McComb Local SD, Hancock","47456.0","102.0","7.58","772.86","707.27","0.0106","0.0049","0.0","0.0635","0.8695","0.0515","0.4157","0.0099","0.1268","47558.98","0.1754","0.2807","0.5439","14.8","4.17","79095.18","185.34","112905.73","0.9018","0.0709","0.0273","0.0982","112.91","2343.66","347.05","102159.35","175.0","32923.0","44145.0","28.44","19.92","28.46","4.6","1417.46","1.5263","1163.95","1634.12","6357.83","454.2","136.95","9747.0","5781.77","0.5111","3918.31","0.3464","957.07","0.0846","655.48","0.0579","11312.62","4164.99","1.6738","0.5166","0.2268","0.1636","0.0323","0.0606"
"McDonald Local SD, Trumbull","50229.0","2.0","368.86","737.72","894.23","0.0011","0.0067","0.0034","0.028","0.9385","0.0223","0.3099","0.0","0.1162","49733.88","0.2453","0.0755","0.6792","18.79","4.56","51765.68","158.54","70578.57","0.9156","0.0592","0.0252","0.0844","70.58","2914.79","495.46","61572.52","22.0","31483.0","44162.0","61.0","39.5","60.77","5.1","0.0","0.9454","741.57","932.29","4136.93","165.67","61.51","6038.0","4412.23","0.543","1922.13","0.2366","1368.51","0.1684","422.49","0.052","8125.36","5778.87","1.9969","0.5945","0.2151","0.1493","0.0278","0.0133"
"Mechanicsburg Ex Vill SD, Champaign","45484.0","61.0","13.98","852.6","902.53","0.0089","0.0062","0.0","0.0065","0.9532","0.0251","0.3222","0.0","0.162","49407.76","0.1733","0.2667","0.56","19.86","11.19","52942.19","75.49","104194.09","0.8883","0.0686","0.0432","0.1117","104.19","2570.26","427.92","101566.7","169.0","34054.0","47525.0","30.55","24.28","26.03","4.5","1636.19","1.4221","1318.2","1976.28","4734.96","158.68","326.87","8515.0","4934.52","0.4587","3429.7","0.3188","1747.05","0.1624","645.2","0.06","10756.47","4406.16","1.4352","0.5031","0.2191","0.2402","0.0242","0.0133"
"Medina City SD, Medina","44388.0","48.0","156.45","7509.38","7031.09","0.0121","0.0242","0.0011","0.0161","0.9159","0.0305","0.1815","0.0053","0.1164","71008.84","0.1136","0.2025","0.684","19.19","35.0","76336.26","209.69","160672.72","0.7626","0.2166","0.0208","0.2374","160.67","6566.25","748.74","179473.03","489.0","43326.0","68974.0","85.78","39.18","42.51","4.3","0.0","0.7986","1112.54","1716.62","6180.48","448.67","166.68","9625.0","3481.59","0.3315","5978.52","0.5693","628.48","0.0598","412.56","0.0393","10501.16","1855.23","0.301","0.6078","0.2301","0.1122","0.0249","0.025"
"Meigs Local SD, Meigs","48520.0","199.0","9.36","1862.3","1732.61","0.0012","0.01","0.0042","0.0015","0.9651","0.0181","0.6543","0.0","0.1405","42703.01","0.2239","0.1343","0.6418","17.74","18.76","54648.76","99.27","79047.94","0.731","0.1503","0.1188","0.269","79.05","1580.96","263.43","66985.14","33.0","26250.0","37445.0","20.0","20.0","20.0","3.8","0.0","0.6314","1409.85","2515.05","6674.58","715.88","281.62","11597.0","8439.35","0.6672","1428.16","0.1129","644.09","0.0509","2136.99","0.169","12648.59","6737.25","3.6347","0.4931","0.2884","0.1378","0.0477","0.0329"
"Mentor Ex Vill SD, Lake","45492.0","35.0","229.41","8029.28","7903.56","0.0171","0.0206","0.0009","0.015","0.9215","0.0249","0.2948","0.0177","0.1214","69122.92","0.2812","0.1301","0.5888","17.73","46.0","94824.3","174.55","206727.89","0.7358","0.2335","0.0307","0.2642","206.73","8417.43","901.73","238268.99","575.0","38300.0","57137.0","76.54","37.29","46.82","4.8","0.0","0.9202","1565.05","2240.79","7450.55","758.29","294.32","12309.0","3769.01","0.2958","7737.45","0.6073","696.89","0.0547","537.71","0.0422","12741.05","1762.25","0.2723","0.5783","0.2621","0.1052","0.038","0.0164"
"Miami East Local SD, Miami","48629.0","121.0","10.2","1234.44","1244.58","0.0032","0.0026","0.0","0.0093","0.9769","0.0079","0.229","0.0","0.0903","57375.21","0.186","0.1047","0.7093","18.31","7.31","78762.16","164.82","153001.99","0.9231","0.0347","0.0422","0.0769","153.0","3560.11","593.57","150663.16","426.0","37793.0","53689.0","40.58","22.45","23.85","6.5","2323.67","1.3421","1127.27","1748.47","5063.49","543.23","295.51","8778.0","4127.53","0.3872","5139.97","0.4821","1003.31","0.0941","390.37","0.0366","10661.19","3199.13","0.7031","0.5375","0.2176","0.2021","0.0298","0.013"
"Miami Trace Local SD, Fayette","46920.0","401.0","6.29","2522.79","2459.05","0.0044","0.0135","0.0001","0.024","0.9176","0.0404","0.4898","0.0057","0.1463","47182.05","0.1176","0.281","0.6013","17.46","21.0","72939.81","115.66","193523.58","0.644","0.1789","0.1771","0.356","193.52","5517.78","546.92","149528.74","421.0","29671.0","43988.0","30.6","28.01","28.23","3.2","0.0","1.2497","1318.86","2140.03","5089.75","601.69","317.68","9468.0","4415.48","0.3888","4700.55","0.4139","1383.84","0.1218","857.28","0.0755","11357.15","3657.15","1.1194","0.5504","0.2043","0.1615","0.0604","0.0234"
"Miamisburg City SD, Montgomery","44396.0","30.0","195.02","5850.58","5314.29","0.024","0.0797","0.0009","0.0245","0.8349","0.036","0.3931","0.0149","0.1584","54584.1","0.2651","0.2193","0.5157","19.08","24.6","89169.63","233.65","146872.86","0.6362","0.3389","0.0248","0.3638","146.87","5991.83","708.43","165801.07","463.0","35543.0","53938.0","54.03","40.15","41.04","4.22","0.0","0.849","1036.74","1745.91","5946.19","618.75","282.42","9630.0","3181.94","0.3202","5531.73","0.5566","554.83","0.0558","670.18","0.0674","9938.67","1564.64","0.3353","0.598","0.223","0.1314","0.027","0.0207"
"Middletown City SD, Butler","44404.0","26.0","286.95","7460.57","6275.28","0.0028","0.158","0.0011","0.0755","0.6576","0.105","0.7076","0.0387","0.1672","57229.18","0.184","0.1863","0.6297","18.43","31.0","86174.9","232.18","96007.63","0.6432","0.286","0.0708","0.3568","96.01","4402.3","561.57","109224.12","217.0","24577.0","37713.0","45.89","45.89","45.77","4.92","0.0","1.4712","1253.33","1969.42","5883.16","710.87","699.21","10516.0","5855.62","0.4764","4437.36","0.361","340.76","0.0277","1657.04","0.1348","12290.78","2781.86","1.1231","0.4604","0.1776","0.3347","0.016","0.0113"
"Midview Local SD, Lorain","48173.0","63.0","49.34","3108.59","3149.02","0.0074","0.0217","0.0049","0.029","0.9007","0.0364","0.3576","0.0016","0.1082","58385.43","0.1792","0.1651","0.6557","22.49","16.0","74317.94","187.47","139952.88","0.8488","0.1113","0.0399","0.1512","139.95","4168.2","591.54","155656.38","438.0","34649.0","49797.0","45.64","29.48","26.4","0.0","0.0","0.8804","1079.69","1687.84","5161.86","308.05","249.56","8487.0","3927.61","0.4284","3300.81","0.36","1432.84","0.1563","506.94","0.0553","9168.19","3590.37","0.8346","0.5756","0.2136","0.1626","0.0314","0.0167"
"Milford Ex Vill SD, Clermont","45500.0","31.0","210.18","6515.57","6135.86","0.017","0.02","0.0","0.0185","0.9194","0.025","0.244","0.0098","0.1167","61756.22","0.1823","0.2365","0.5812","19.63","25.0","85708.12","252.68","134123.79","0.8107","0.1603","0.029","0.1893","134.12","5722.47","700.92","163371.11","460.0","42853.0","65675.0","72.7","40.09","50.23","3.8","0.0","0.7257","989.26","1983.23","5548.68","434.04","188.79","9144.0","3481.95","0.3352","5183.89","0.499","1142.73","0.11","580.42","0.0559","10389.0","2437.54","0.4039","0.5563","0.1847","0.2134","0.03","0.0155"
"Millcreek-West Unity Local S, Williams","50633.0","54.0","11.62","627.3","636.41","0.0016","0.0063","0.0","0.039","0.9336","0.0196","0.4055","0.0","0.1382","49388.36","0.1471","0.1471","0.7059","17.0","6.87","61534.93","88.05","101840.6","0.83","0.1345","0.0355","0.17","101.84","2858.63","462.1","102651.49","177.0","29861.0","40010.0","52.3","26.42","31.85","4.0","952.97","1.3818","1599.63","1859.0","5105.7","365.85","182.87","9113.0","5133.48","0.488","3343.07","0.3178","1337.37","0.1271","706.45","0.0672","10520.37","4342.61","1.7258","0.5369","0.2123","0.2016","0.0281","0.0211"
"Miller City-New Cleveland Lo, Putnam","49361.0","46.0","9.01","414.53","458.94","0.0","0.0","0.0","0.0022","0.9922","0.0056","0.1036","0.0","0.1076","50430.39","0.2381","0.2857","0.4762","15.15","5.3","77787.02","78.21","117308.25","0.9415","0.0196","0.0388","0.0585","117.31","2412.94","341.1","92233.7","127.0","39020.0","50161.0","31.0","20.0","27.08","4.65","1325.23","1.1311","1083.45","1513.8","5426.47","238.17","421.19","8683.0","5048.83","0.4876","3146.83","0.3039","1825.0","0.1763","333.76","0.0322","10354.41","5789.33","1.7883","0.5784","0.2215","0.1479","0.037","0.0153"
"Milton-Union Ex Vill SD, Miami","45518.0","46.0","31.85","1464.91","1508.01","0.0029","0.0057","0.002","0.0051","0.9679","0.0165","0.4189","0.0007","0.1395","54658.73","0.1158","0.1684","0.7158","18.88","10.2","71509.75","138.02","125607.84","0.8903","0.0643","0.0454","0.1097","125.61","4196.36","566.78","125762.78","308.0","31425.0","46497.0","65.48","31.42","38.33","3.6","94.34","1.1159","1484.61","1479.51","5044.34","542.54","153.99","8705.0","4308.27","0.4571","3354.59","0.3559","1133.9","0.1203","628.36","0.0667","9425.13","3713.87","1.0096","0.544","0.2405","0.174","0.0292","0.0123"
"Minerva Local SD, Stark","49890.0","81.0","23.36","1891.85","1946.83","0.0022","0.0065","0.001","0.0097","0.9639","0.0167","0.5123","0.0005","0.1569","50227.02","0.1802","0.1081","0.7117","19.1","12.02","73730.7","149.81","99826.9","0.7871","0.157","0.0559","0.2129","99.83","3203.64","459.0","106398.31","197.0","31111.0","44488.0","42.18","31.38","32.06","4.3","0.0","0.8753","1137.83","1511.04","4573.86","383.35","151.92","7758.0","5094.86","0.5293","2626.25","0.2729","1030.12","0.107","873.99","0.0908","9625.23","4943.94","1.5227","0.5365","0.2311","0.1783","0.0327","0.0214"
"Minford Local SD, Scioto","49627.0","80.0","17.23","1378.04","1503.31","0.0009","0.0039","0.0046","0.007","0.9672","0.0165","0.4911","0.0","0.1492","49151.9","0.2043","0.1075","0.6882","18.86","6.2","82716.61","214.06","70866.4","0.8906","0.0462","0.0632","0.1094","70.87","1596.31","244.88","60341.45","21.0","31808.0","46745.0","29.58","22.04","22.17","5.11","0.0","0.6128","1065.94","2019.89","4763.25","306.34","154.55","8310.0","6394.67","0.633","1173.22","0.1161","1804.53","0.1786","729.63","0.0722","10102.04","6671.68","2.7458","0.4765","0.2206","0.2469","0.0403","0.0157"
"Minster Local SD, Auglaize","45948.0","30.0","29.19","875.62","815.95","0.0049","0.0018","0.0","0.0123","0.9728","0.0082","0.1147","0.0","0.108","57222.31","0.1268","0.1549","0.7183","17.6","4.2","73806.95","208.48","143100.11","0.7638","0.2262","0.01","0.2362","143.1","4206.73","531.07","144847.15","404.0","38168.0","61230.0","44.87","26.09","39.87","4.8","1242.32","1.0065","953.34","1657.36","6046.77","268.47","221.11","9147.0","4387.36","0.4021","5404.79","0.4953","776.38","0.0712","342.82","0.0314","10911.37","2282.11","0.4771","0.5505","0.2259","0.1849","0.0239","0.0149"
"Mississinawa Valley Local SD, Darke","46672.0","80.0","8.89","711.15","695.6","0.0","0.0","0.0","0.0645","0.9078","0.0277","0.5489","0.0043","0.1963","52023.94","0.1346","0.2115","0.6538","14.99","5.54","84657.04","124.18","97720.42","0.9165","0.0557","0.0278","0.0835","97.72","2213.26","319.79","81663.78","76.0","26369.0","37173.0","28.98","22.44","22.85","4.8","1286.63","2.1318","1145.84","2021.24","6596.49","485.26","400.14","10649.0","6277.82","0.546","3123.76","0.2717","1016.01","0.0884","1080.83","0.094","11498.44","5360.95","2.4637","0.5268","0.2141","0.2025","0.0315","0.025"
"Mogadore Local SD, Summit","50039.0","3.0","229.73","689.18","911.64","0.0022","0.0","0.0","0.0055","0.982","0.0103","0.3113","0.0","0.1226","64027.92","0.3226","0.2258","0.4516","17.84","10.0","45844.4","66.39","120261.8","0.7257","0.2427","0.0316","0.2743","120.26","5146.2","710.54","101846.97","172.0","32204.0","43334.0","76.99","39.13","49.29","5.0","0.0","1.1203","1336.13","1534.67","6319.81","354.09","368.33","9913.0","4385.07","0.4331","3212.84","0.3173","2157.29","0.2131","369.64","0.0365","10124.84","5175.26","1.7177","0.6182","0.2121","0.1223","0.0237","0.0237"
